Block,Plot,Wood,Ivy,SeedlingNo,Ht_cm_2011Feb14,Ht_cm_2011May10,Ht_cm_2011Aug8,Ht_cm_2011Nov8,Status_2011Nov8,Ht_cm_2012Feb7,Status_2012Feb7,Ht_cm_2012May10,Status_2012May10,Ht_cm_2012Aug3,Status_2012Aug3,Notes
1,1-Jan,0,0,W543,3.6,3.5,,,0,,0,,0,,0,TR
1,1-Jan,0,0,R270,5,5.5,4,,0,,0,,0,,0,TR
1,1-Jan,0,0,W384,3.4,3.4,4.3,,0,,0,,0,,0,
1,1-Jan,0,0,R324,5.2,5.6,,,0,,0,,0,,0,
1,1-Jan,0,0,W167,3.1,1.7,1.5,,0,,0,,0,,0,TR
1,1-Jan,0,0,W508,3.5,4.2,,,0,,0,,0,,0,TR
1,1-Jan,0,0,W107,3.2,2.9,2.6,,0,,0,,0,,0,TR
1,1-Jan,0,0,R363,3.8,3.9,3.2,3.6,1,,0,,0,,0,TR
1,1-Jan,0,0,R125,4.5,2.9,,,0,,0,,0,,0,TR
1,1-Jan,0,0,R124,1.5,1.8,1.7,,0,,0,,0,,0,TR
1,1-Jan,0,0,R43,2.8,3.1,,,0,,0,,0,,0,TR
1,1-Jan,0,0,R57,3.3,3.8,3.5,,0,,0,,0,,0,TR
1,1-Jan,0,0,G23,2.1,1.5,,,0,,0,,0,,0,TR
1,1-Jan,0,0,R8,1.9,1.3,,,0,,0,,0,,0,TR
1,1-Jan,0,0,R15,5.2,5,4.8,,0,,0,,0,,0,TR
1,1-Jan,0,0,G26,3.5,4,,,0,,0,,0,,0,TR
1,5-Jan,0,1,W135,5.6,6.1,5.6,,0,,0,,0,,0,
1,5-Jan,0,1,R255,4.7,5.2,4.9,,0,,0,,0,,0,TR
1,5-Jan,0,1,R266,4.5,3.8,3.8,,0,,0,,0,,0,
1,5-Jan,0,1,R224,3.7,4.5,3.6,,0,,0,,0,,0,
1,5-Jan,0,1,W136,5.4,5.5,5.4,,0,,0,,0,,0,
1,5-Jan,0,1,R225,7,6.6,6.3,,0,,0,,0,,0,TR
1,5-Jan,0,1,W168,4.2,4.2,3.3,,0,,0,,0,,0,TR
1,5-Jan,0,1,R254,2.8,3.5,2.7,,0,,0,,0,,0,TR
1,5-Jan,0,1,R91,3.5,2.5,3.2,,0,,0,,0,,0,
1,5-Jan,0,1,R49,5.3,5.6,4.6,,0,,0,,0,,0,
1,5-Jan,0,1,R56,2,1.4,1.1,,0,,0,,0,,0,TR
1,5-Jan,0,1,G61,2.8,1.6,1.8,,0,,0,,0,,0,TR
1,5-Jan,0,1,R142,4.2,4.8,2.2,,0,,0,,0,,0,TR
1,5-Jan,0,1,R175,5.5,5.5,5.6,4.4,1,,0,,0,,0,TR
1,5-Jan,0,1,R190,2.5,2.3,2.8,,0,,0,,0,,0,TR
1,5-Jan,0,1,G71,5.6,5.4,4.7,,0,,0,,0,,0,TR
1,9-Jan,1,0,R253,3.6,3.6,4.1,4.5,1,4.4,1,5.1,1,5,1,
1,9-Jan,1,0,R256,4.5,5.2,,,0,,0,,0,,0,TR
1,9-Jan,1,0,R258,2.9,3,3.1,3.4,1,3.8,1,3.7,1,4.2,1,only has 2 green needles
1,9-Jan,1,0,W387,4,3.2,5.2,5.2,1,5.8,1,3.9,1,4.7,1,
1,9-Jan,1,0,R259,5.1,5.9,,,0,,0,,0,,0,TR
1,9-Jan,1,0,R392,4.5,4.8,4.8,3.8,1,4.6,1,4.2,1,3.5,1,
1,9-Jan,1,0,R257,3.1,3.8,3.6,3.6,1,3.5,1,3.5,1,3.2,1,
1,9-Jan,1,0,W175,5,6.4,6.2,5.6,1,5,1,4.3,1,5.1,1,
1,9-Jan,1,0,R82,4.3,3.3,3.4,4.4,1,3.9,1,4.3,1,3.7,1,Some yellow needles
1,9-Jan,1,0,R162,6.6,6.4,6.2,6.5,1,5.9,1,6.7,1,6.1,1,
1,9-Jan,1,0,R95,4.3,3.3,2.5,2.4,1,3.3,1,2.2,1,2.4,1,
1,9-Jan,1,0,R76,4.5,4.4,3.5,4.1,1,4.4,1,3.8,1,4.8,1,
1,9-Jan,1,0,R200,5,4.4,4.9,4.3,1,4.3,1,6.3,1,4.1,1,
1,9-Jan,1,0,R83,2.4,2.7,3.7,3.8,1,3,1,3.2,1,3.6,1,
1,9-Jan,1,0,R90,5.5,3.9,4.5,4.8,1,3.9,1,4.2,1,3.2,1,
1,9-Jan,1,0,R97,3,2.8,3.3,3.4,1,3.9,1,3.6,1,3.8,1,
1,13-Jan,1,1,R360,5,4.9,6.3,5.7,1,5.9,1,4.9,1,5.5,1,
1,13-Jan,1,1,R300,4.8,5.2,4.9,4.4,1,4.8,1,4.5,1,4.8,1,
1,13-Jan,1,1,R284,4.2,4.5,4.3,3.6,1,4.6,1,4.2,1,4.4,1,
1,13-Jan,1,1,R355,2.8,4.1,3.7,4.8,1,4.7,1,3.2,1,4.8,1,
1,13-Jan,1,1,R399,4.2,4.3,4.3,4.6,1,5.2,1,4.2,1,4.3,1,
1,13-Jan,1,1,R287,4.9,3.8,3.6,,0,,0,,0,,0,TR
