Block,Plot,Wood,Ivy,SeedlingNo,Ht_cm_2011Mar3,Ht_cm_2011May26,Ht_cm_2011Aug8,Ht_cm_2011Nov8,Status_2011Nov8,Ht_cm_2012Feb7,Status_2012Feb7,Ht_cm_2012May10,Status_2012May10,Ht_cm_2012Aug3,Status_2012Aug3,Notes
1,4-Jan,0,0,88,54.5,56.5,56,52.1,1,51.8,1,,0,,0,TR
1,4-Jan,0,0,1,36,37,39,,0,,0,,0,,0,TR
1,4-Jan,0,0,39,50,53.5,55,53.5,1,54,1,52.5,1,52.2,1,
1,4-Jan,0,0,78,58,57,58,51.7,1,54.7,1,,0,,0,TR
1,4-Jan,0,0,41,45,46,46,39.8,1,46,1,,0,,0,TR
1,8-Jan,0,1,6,73,72,67,65,1,68.1,1,,0,,0,TR
1,8-Jan,0,1,57,57.5,59,58,,0,,0,,0,,0,TR
1,8-Jan,0,1,74,62,61,64,,0,,0,,0,,0,TR
1,8-Jan,0,1,81,42,43,43,,0,,0,,0,,0,TR
1,8-Jan,0,1,77,60,60,60,53.5,1,55.9,1,,0,,0,TR
1,12-Jan,1,0,27,70.5,70.5,73,68,1,69.1,1,68.9,1,76.1,1,
1,12-Jan,1,0,28,46.5,46.5,45,44.5,1,44.3,1,49.3,1,48.8,1,
1,12-Jan,1,0,38,49,51,54,52.2,1,51.2,1,53,1,53.2,1,
1,12-Jan,1,0,11,50,50,50,49.8,1,46.6,1,49.3,1,48.3,1,
1,12-Jan,1,0,10,41,39,41,38.7,1,37.5,1,38.1,1,41.6,1,
1,16-Jan,1,1,75,59,59,58,58,1,59.2,1,58.8,1,58.2,1,
1,16-Jan,1,1,8,45.5,46,43,44,1,45,1,41.8,1,43.6,1,
1,16-Jan,1,1,73,53,54.5,52,48.5,1,47.9,1,50.4,1,44.2,1,dead top
1,16-Jan,1,1,82,37,36.5,37,37,1,35.4,1,38.7,1,37.7,1,
1,16-Jan,1,1,66,51,51,52,52.2,1,50.8,1,53.7,1,56.8,1,
2,4-Feb,0,1,114,54.5,55,55,58.2,1,50.2,1,57.2,1,55.3,1,
2,4-Feb,0,1,5,64.5,65,68,70.2,1,68.3,1,72.4,1,77.5,1,
2,4-Feb,0,1,24,60,60,62,62.5,1,62.1,1,61.8,1,64,1,
2,4-Feb,0,1,35,50,49,51,50.8,1,51.2,1,,0,,0,TR
2,4-Feb,0,1,45,59,60,62,62.4,1,61.5,1,61.6,1,62.7,1,dead top
2,8-Feb,0,0,17,57,59.5,59,30.6,1,63.2,1,61.3,1,67.1,1,
2,8-Feb,0,0,109,39.5,40,40,40.5,1,38,1,40.6,1,47.9,1,
2,8-Feb,0,0,43,67,70,73,69.7,1,71.4,1,73.2,1,74.7,1,dead top
2,8-Feb,0,0,107,53,54,59,59,1,57.1,1,63.1,1,69,1,
2,8-Feb,0,0,25,78,76.5,76,76.8,1,75,1,,0,,0,TR
2,12-Feb,1,1,69,61.5,61,59,61.9,1,59.1,1,62.1,1,64.7,1,
2,12-Feb,1,1,76,56.5,55.5,56,55.8,1,54.5,1,55.3,1,58.3,1,
2,12-Feb,1,1,68,57,55,58,58.7,1,56.9,1,57.2,1,60.2,1,
2,12-Feb,1,1,67,57,57.5,60,59.8,1,59,1,61,1,64.8,1,
2,12-Feb,1,1,29,38.5,39,39,40.5,1,39.1,1,40.7,1,40.5,1,
2,16-Feb,1,0,16,63.5,65.5,62,66.3,1,62.9,1,63,1,62.8,1,
2,16-Feb,1,0,104,39,42,37,39.7,1,39.4,1,40.1,1,41.9,1,
2,16-Feb,1,0,105,58,59.5,58,52,1,52.7,1,50.2,1,49,1,
2,16-Feb,1,0,106,47.5,49,49,48.1,1,47.8,1,44.2,1,47.4,1,
2,16-Feb,1,0,111,62,62.5,66,60.3,1,62.2,1,62.6,1,61.2,1,
4,4-Apr,0,1,49,39,47,44,,0,,0,,0,,0,TR
4,4-Apr,0,1,14,46.5,47,45,,0,,0,,0,,0,TR
4,4-Apr,0,1,32,52.5,54,39,,0,,0,,0,,0,TR
4,4-Apr,0,1,58,81,77,73,77.8,1,75.1,1,,0,,0,TR
4,4-Apr,0,1,93,72.5,70.5,66,,0,,0,,0,,0,TR
4,8-Apr,0,0,96,64.5,66,64,60.9,1,61,1,55.2,1,60.4,1,Tag missing
4,8-Apr,0,0,48,43.5,44,42,,0,,0,,0,,0,TR
4,8-Apr,0,0,50,57,60,59,59.1,1,57.2,1,58,1,58.9,1,Tag missing
4,8-Apr,0,0,79,67,68,65,,0,,0,,0,,0,TR
4,8-Apr,0,0,51,65.5,63.5,60,,0,,0,,0,,0,TR
4,12-Apr,1,1,80,44.5,47,40,44,1,42.5,1,37,1,40.8,1,
4,12-Apr,1,1,55,70,73,68,64.5,1,67.4,1,65.6,1,68.7,1,dead top
4,12-Apr,1,1,56,58,59,53,55.7,1,57.2,1,54.6,1,54.5,1,
4,12-Apr,1,1,52,53,54,54,55.8,1,53.8,1,52,1,55.2,1,
4,12-Apr,1,1,54,44.5,42.5,43,46.7,1,42,1,39.7,1,42.7,1,
4,16-Apr,1,0,12,60,57.5,57,56.2,1,62.1,1,56.9,1,61.5,1,
4,16-Apr,1,0,13,68,67,65,63.8,1,68.2,1,67.8,1,67.8,1,dead top
4,16-Apr,1,0,53,38,39,38,38.8,1,41.4,1,43.5,1,43.4,1,
4,16-Apr,1,0,36,45,48,46,47,1,47.4,1,51.8,1,54.9,1,
4,16-Apr,1,0,31,50.5,50,52,52.4,1,51.5,1,54.2,1,58.7,1,
5,4-May,0,0,7,72.5,71.5,73,66.9,1,71,1,,0,,0,TR
5,4-May,0,0,115,64.5,66,64,59.5,1,64.7,1,,0,,0,TR
5,4-May,0,0,3,41.5,42,44,42.4,1,41,1,42.2,1,47,1,
5,4-May,0,0,6,67.5,66,67,65.3,1,67.8,1,,0,,0,TR
5,4-May,0,0,138,45,45,47,46,1,46.5,1,45.2,1,45.8,1,
5,8-May,0,1,137,56.5,58.5,54,55.4,1,55,1,,0,,0,TR
5,8-May,0,1,98,66.5,70,71,70.2,1,68,1,,0,,0,TR
5,8-May,0,1,99,48,47,47,45.4,1,45.3,1,45.1,1,43.9,1,
5,8-May,0,1,199,51,51.5,53,49.7,1,51,1,,0,,0,TR
5,8-May,0,1,136,55.5,55,52,52.1,1,51.4,1,51.1,1,53.6,1,dead top
5,12-May,1,0,101,51,50.5,52,52.2,1,55.6,1,53.5,1,56.1,1,
5,12-May,1,0,140,53.5,55,54,55.7,1,55.3,1,56.6,1,53.5,1,
5,12-May,1,0,116,60.5,60.5,65,66,1,65.4,1,64.4,1,63.4,1,
5,12-May,1,0,117,59.5,58,64,66.4,1,65.2,1,62.4,1,61.6,1,
5,12-May,1,0,118,67.5,67,72,72.3,1,72.7,1,68.8,1,73.1,1,
5,16-May,1,1,120,61.5,,,,,,,,,,0,TR
5,16-May,1,1,102,43.5,52,,,,,,,,,0,TR
5,16-May,1,1,103,40,42,,,,,,,,41.5,1,
6,4-Jun,0,1,86,52,49,44,47.2,1,,0,,0,,0,TR
6,4-Jun,0,1,90,51.5,49,51,,0,,0,,0,,0,TR
6,4-Jun,0,1,91,56.5,55,53,49,1,,0,,0,,0,TR
6,4-Jun,0,1,95,48,48,49,48,1,,0,,0,,0,TR
6,4-Jun,0,1,94,71.5,71.5,73,69.3,1,,0,,0,,0,TR
6,8-Jun,0,0,83,49,50.5,53,50,1,49.2,1,,0,,0,TR
