Block,Plot,Wood,Ivy,SeedlingNo,Ht_cm_2011Mar3,Ht_cm_2011May26,Ht_cm_2011Aug8,Ht_cm_2011Nov8,Status_2011Nov8,Ht_cm_2012Feb7,Status_2012Feb7,Ht_cm_2012May10,Status_2012May10,Ht_cm_2012Aug3,Status_2012Aug3,Notes
6,8-Jun,0,0,84,54.5,54,55,53,1,50.5,1,,0,,0,TR
6,8-Jun,0,0,85,57.5,56,55,,0,,0,,0,,0,TR
6,8-Jun,0,0,87,50.5,50.5,52,,0,,0,,0,,0,TR
6,8-Jun,0,0,92,61,60,60,,0,,0,,0,,0,TR
6,12-Jun,1,1,89,54,52,57,54.9,1,53.6,1,53,1,52.9,1,
6,12-Jun,1,1,100,57,55,57,54.8,1,56.5,1,56.4,1,61.2,1,
6,12-Jun,1,1,42,46,44.5,47,45.5,1,51,1,49.8,1,52.7,1,
6,12-Jun,1,1,72,57,58.5,48,54.8,1,52.6,1,53.9,1,53.3,1,
6,12-Jun,1,1,97,44,42,44,43.5,1,41.8,1,45.2,1,46.1,1,
6,16-Jun,1,0,70,47,47,49,47,1,49.1,1,52.2,1,57.1,1,
6,16-Jun,1,0,71,61,62.5,63,59.8,1,62.7,1,65.9,1,68.5,1,
6,16-Jun,1,0,22,44,43,40,40.2,1,35.6,1,37.3,1,38.7,1,
6,16-Jun,1,0,110,74,72,71,69,1,74.5,1,62.2,1,70.1,1,
6,16-Jun,1,0,7,84,83.5,85,80.2,1,80,1,79.2,1,79.6,1,
7,4-Jul,0,1,46,62,64,66,64.9,1,64.8,1,,0,,0,TR
7,4-Jul,0,1,40,53,57.5,55,49.1,1,,0,,0,,0,TR
7,4-Jul,0,1,37,54.5,58,58,59,1,57.2,1,56.6,1,58.5,1,
7,4-Jul,0,1,33,40.5,43,42,42.2,1,37.2,1,,0,,0,TR
7,4-Jul,0,1,30,51,52.5,56,53.2,1,53.6,1,54.2,1,53.7,1,
7,8-Jul,0,0,112,60.5,64,66,65,1,65,1,66.8,1,65.9,1,
7,8-Jul,0,0,62,35.5,38,38,34.5,1,35.7,1,36.3,1,36.2,1,
7,8-Jul,0,0,64,50,53.5,55,54,1,52.8,1,,0,,0,TR
7,8-Jul,0,0,60,63,64.5,64,63,1,63.4,1,,0,,0,TR
7,8-Jul,0,0,63,57,58,59,57,1,55.3,1,58,1,55.5,1,
7,12-Jul,1,1,44,62.5,62.5,63,60,1,59.1,1,59.2,1,67.3,1,
7,12-Jul,1,1,20,30,36,35,35.5,1,32.7,1,37,1,41.5,1,
7,12-Jul,1,1,18,59,59.5,60,61.2,1,56.5,1,57.6,1,61.9,1,
7,12-Jul,1,1,23,54.5,55,57,53,1,54.1,1,52.8,1,55.3,1,
7,12-Jul,1,1,47,61.5,64.5,66,66,1,64.2,1,70.3,1,80.2,1,
7,16-Jul,1,0,21,47,50.5,51,49,1,49.1,1,50.7,1,56,1,
7,16-Jul,1,0,61,54.5,55,55,55,1,54.7,1,53.3,1,53.8,1,
7,16-Jul,1,0,59,66,69,69,68.8,1,64.2,1,49.3,1,60.2,1,
7,16-Jul,1,0,65,51,54.5,53,53,1,60.9,1,57.9,1,59.5,1,
7,16-Jul,1,0,19,59.5,60,65,61.5,1,54.4,1,66.1,1,73,1,
